¨id,kommun,post_ort_saved,personer_count,ratsit_link,created_at,updated_at
101,Karlstads,1,83163,https://www.ratsit.se/personer/Karlstads-kommun,,2025-11-17 12:44:07
102,Katrineholms,1,27954,https://www.ratsit.se/personer/Katrineholms-kommun,,2025-11-17 12:45:06
103,Kils,1,9742,https://www.ratsit.se/personer/Kils-kommun,,2025-11-17 12:46:07
104,Kinda,1,8211,https://www.ratsit.se/personer/Kinda-kommun,,2025-11-17 12:46:59
105,Kiruna,1,18718,https://www.ratsit.se/personer/Kiruna-kommun,,2025-11-17 12:47:53
106,Klippans,1,14628,https://www.ratsit.se/personer/Klippans-kommun,,2025-11-17 12:48:44
107,Knivsta,1,16751,https://www.ratsit.se/personer/Knivsta-kommun,,2025-11-17 12:49:36
108,Kramfors,1,14901,https://www.ratsit.se/personer/Kramfors-kommun,,2025-11-17 12:50:28
109,Kristianstads,1,70710,https://www.ratsit.se/personer/Kristianstads-kommun,,2025-11-17 12:51:30
110,Kristinehamns,1,20001,https://www.ratsit.se/personer/Kristinehamns-kommun,,2025-11-17 12:52:28
111,Krokoms,1,12539,https://www.ratsit.se/personer/Krokoms-kommun,,2025-11-17 12:53:22
112,Kumla,1,18050,https://www.ratsit.se/personer/Kumla-kommun,,2025-11-17 12:54:15
113,Kungsbacka,1,69478,https://www.ratsit.se/personer/Kungsbacka-kommun,,2025-11-17 12:55:18
114,Kungsörs,1,6976,https://www.ratsit.se/personer/Kungs%C3%B6rs-kommun,,2025-11-17 12:56:09
115,Kungälvs,1,40828,https://www.ratsit.se/personer/Kung%C3%A4lvs-kommun,,2025-11-17 12:57:05
116,Kävlinge,1,25781,https://www.ratsit.se/personer/K%C3%A4vlinge-kommun,,2025-11-17 12:57:58
117,Köpings,1,21233,https://www.ratsit.se/personer/K%C3%B6pings-kommun,,2025-11-17 12:58:52
118,Laholms,1,21873,https://www.ratsit.se/personer/Laholms-kommun,,2025-11-17 12:59:50
119,Landskrona,1,38658,https://www.ratsit.se/personer/Landskrona-kommun,,2025-11-17 13:00:45
120,Laxå,1,4589,https://www.ratsit.se/personer/Lax%C3%A5-kommun,,2025-11-17 13:01:45
121,Lekebergs,1,6743,https://www.ratsit.se/personer/Lekebergs-kommun,,2025-11-17 13:02:44
122,Leksands,1,13546,https://www.ratsit.se/personer/Leksands-kommun,,2025-11-17 13:03:42
123,Lerums,1,34039,https://www.ratsit.se/personer/Lerums-kommun,,2025-11-17 13:04:42
124,Lessebo,1,6620,https://www.ratsit.se/personer/Lessebo-kommun,,2025-11-17 13:05:33
125,Lidingö,1,39101,https://www.ratsit.se/personer/Liding%C3%B6-kommun,,2025-11-17 13:06:28
126,Lidköpings,1,33571,https://www.ratsit.se/personer/Lidk%C3%B6pings-kommun,,2025-11-17 13:07:28
127,Lilla-Edets,1,11606,https://www.ratsit.se/personer/Lilla-Edets-kommun,,2025-11-17 13:08:20
128,Lindesbergs,1,19102,https://www.ratsit.se/personer/Lindesbergs-kommun,,2025-11-17 13:09:14
129,Linköpings,1,140203,https://www.ratsit.se/personer/Link%C3%B6pings-kommun,,2025-11-17 13:10:25
130,Ljungby,1,23469,https://www.ratsit.se/personer/Ljungby-kommun,,2025-11-17 13:11:18
131,Ljusdals,1,15561,https://www.ratsit.se/personer/Ljusdals-kommun,,2025-11-17 13:12:11
132,Ljusnarsbergs,1,3778,https://www.ratsit.se/personer/Ljusnarsbergs-kommun,,2025-11-17 13:13:01
133,Lomma,1,19512,https://www.ratsit.se/personer/Lomma-kommun,,2025-11-17 13:13:59
134,Ludvika,1,22008,https://www.ratsit.se/personer/Ludvika-kommun,,2025-11-17 13:14:53
135,Luleå,1,67705,https://www.ratsit.se/personer/Lule%C3%A5-kommun,,2025-11-17 13:15:51
136,Lunds,1,111673,https://www.ratsit.se/personer/Lunds-kommun,,2025-11-17 13:16:57
137,Lycksele,1,10013,https://www.ratsit.se/personer/Lycksele-kommun,,2025-11-17 16:03:05
138,Lysekils,1,11854,https://www.ratsit.se/personer/Lysekils-kommun,,2025-11-17 13:18:36
