id,post_ort,post_nummer,post_nummer_count,post_nummer_link,created_at,updated_at
1772,Gävle,806 30,268,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80630,,
1773,Gävle,806 31,1147,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80631,,
1774,Gävle,806 32,876,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80632,,
1775,Gävle,806 33,1385,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80633,,
1776,Gävle,806 34,993,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80634,,
1777,Gävle,806 35,1591,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80635,,
1778,Gävle,806 36,1243,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80636,,
1779,Gävle,806 37,766,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80637,,
1780,Gävle,806 38,492,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80638,,
1781,Gävle,806 41,1384,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80641,,
1782,Gävle,806 42,529,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80642,,
1783,Gävle,806 43,572,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80643,,
1784,Gävle,806 45,1264,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80645,,
1785,Gävle,806 46,522,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80646,,
1786,Gävle,806 47,528,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80647,,
1787,Gävle,806 48,1329,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80648,,
1788,Gävle,806 49,903,https://www.ratsit.se/personer/G%C3%A4vle-kommun/G%C3%A4vle-80649,,
1789,Hamrångefjärden,817 91,43,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Hamr%C3%A5ngefj%C3%A4rden-81791,,
1790,Hamrångefjärden,817 93,585,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Hamr%C3%A5ngefj%C3%A4rden-81793,,
1791,Hedesunda,818 45,1060,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Hedesunda-81845,,
1792,Hedesunda,818 95,647,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Hedesunda-81895,,
1793,Hedesunda,818 96,465,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Hedesunda-81896,,
1794,Norrsundet,817 30,883,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Norrsundet-81730,,
1795,Ockelbo,816 93,276,https://www.ratsit.se/personer/Ockelbo-kommun/Ockelbo-81693,,
1796,Valbo,818 30,953,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81830,,
1797,Valbo,818 31,1028,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81831,,
1798,Valbo,818 32,1566,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81832,,
1799,Valbo,818 33,1050,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81833,,
1800,Valbo,818 34,436,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81834,,
1801,Valbo,818 35,156,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81835,,
1802,Valbo,818 91,767,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81891,,
1803,Valbo,818 92,1117,https://www.ratsit.se/personer/G%C3%A4vle-kommun/Valbo-81892,,
