id,kommun,foretag_count,ratsit_link,created_at,updated_at,foretag_postort_saved
233,Sölvesborgs kommun,2412,https://www.ratsit.se/foretag/S%C3%B6lvesborgs-kommun,2025-11-17 14:03:06,2025-11-17 14:03:06,0
234,Tanums kommun,3264,https://www.ratsit.se/foretag/Tanums-kommun,2025-11-17 14:03:07,2025-11-17 14:03:07,0
235,Tibro kommun,1549,https://www.ratsit.se/foretag/Tibro-kommun,2025-11-17 14:03:07,2025-11-17 14:03:07,0
236,Tidaholms kommun,1658,https://www.ratsit.se/foretag/Tidaholms-kommun,2025-11-17 14:03:08,2025-11-17 14:03:08,0
237,Tierps kommun,3290,https://www.ratsit.se/foretag/Tierps-kommun,2025-11-17 14:03:08,2025-11-17 14:03:08,0
238,Timrå kommun,2225,https://www.ratsit.se/foretag/Timr%C3%A5-kommun,2025-11-17 14:03:09,2025-11-17 14:03:09,0
239,Tingsryds kommun,2672,https://www.ratsit.se/foretag/Tingsryds-kommun,2025-11-17 14:03:09,2025-11-17 14:03:09,0
240,Tjörns kommun,3134,https://www.ratsit.se/foretag/Tj%C3%B6rns-kommun,2025-11-17 14:03:09,2025-11-17 14:03:09,0
241,Tomelilla kommun,2307,https://www.ratsit.se/foretag/Tomelilla-kommun,2025-11-17 14:03:10,2025-11-17 14:03:10,0
242,Torsby kommun,3353,https://www.ratsit.se/foretag/Torsby-kommun,2025-11-17 14:03:10,2025-11-17 14:03:10,0
243,Torsås kommun,1321,https://www.ratsit.se/foretag/Tors%C3%A5s-kommun,2025-11-17 14:03:11,2025-11-17 14:03:11,0
244,Tranemo kommun,2203,https://www.ratsit.se/foretag/Tranemo-kommun,2025-11-17 14:03:11,2025-11-17 14:03:11,0
245,Tranås kommun,2498,https://www.ratsit.se/foretag/Tran%C3%A5s-kommun,2025-11-17 14:03:11,2025-11-17 14:03:11,0
246,Trelleborg kommun,5499,https://www.ratsit.se/foretag/Trelleborg-kommun,2025-11-17 14:03:12,2025-11-17 14:03:12,0
247,Trollhättans kommun,5850,https://www.ratsit.se/foretag/Trollh%C3%A4ttans-kommun,2025-11-17 14:03:12,2025-11-17 14:03:12,0
248,Trosa kommun,2197,https://www.ratsit.se/foretag/Trosa-kommun,2025-11-17 14:03:13,2025-11-17 14:03:13,0
249,Tyresö kommun,6474,https://www.ratsit.se/foretag/Tyres%C3%B6-kommun,2025-11-17 14:03:13,2025-11-17 14:03:13,0
250,Täby kommun,12560,https://www.ratsit.se/foretag/T%C3%A4by-kommun,2025-11-17 14:03:13,2025-11-17 14:03:13,0
251,Töreboda kommun,1249,https://www.ratsit.se/foretag/T%C3%B6reboda-kommun,2025-11-17 14:03:14,2025-11-17 14:03:14,0
252,Uddevalla kommun,8399,https://www.ratsit.se/foretag/Uddevalla-kommun,2025-11-17 14:03:14,2025-11-17 14:03:14,0
253,Ulricehamn kommun,4161,https://www.ratsit.se/foretag/Ulricehamn-kommun,2025-11-17 14:03:15,2025-11-17 14:03:15,0
254,Umeå kommun,21807,https://www.ratsit.se/foretag/Ume%C3%A5-kommun,2025-11-17 14:03:15,2025-11-17 14:03:15,0
255,Upplands-Bro kommun,3323,https://www.ratsit.se/foretag/Upplands-Bro-kommun,2025-11-17 14:03:16,2025-11-17 14:03:16,0
256,Upplands Väsby kommun,5458,https://www.ratsit.se/foretag/Upplands-V%C3%A4sby-kommun,2025-11-17 14:03:16,2025-11-17 14:03:16,0
257,Uppsala kommun,30740,https://www.ratsit.se/foretag/Uppsala-kommun,2025-11-17 14:03:16,2025-11-17 14:03:16,0
258,Uppvidinge kommun,1643,https://www.ratsit.se/foretag/Uppvidinge-kommun,2025-11-17 14:03:17,2025-11-17 14:03:17,0
259,Vadstena kommun,1349,https://www.ratsit.se/foretag/Vadstena-kommun,2025-11-17 14:03:17,2025-11-17 14:03:17,0
260,Vaggeryds kommun,2001,https://www.ratsit.se/foretag/Vaggeryds-kommun,2025-11-17 14:03:18,2025-11-17 14:03:18,0
261,Valdemarsviks kommun,1287,https://www.ratsit.se/foretag/Valdemarsviks-kommun,2025-11-17 14:03:18,2025-11-17 14:03:18,0
262,Vallentuna kommun,5116,https://www.ratsit.se/foretag/Vallentuna-kommun,2025-11-17 14:03:18,2025-11-17 14:03:18,0
263,Vansbro kommun,1538,https://www.ratsit.se/foretag/Vansbro-kommun,2025-11-17 14:03:19,2025-11-17 14:03:19,0
264,Vara kommun,3139,https://www.ratsit.se/foretag/Vara-kommun,2025-11-17 14:03:19,2025-11-17 14:03:19,0
265,Varbergs kommun,11111,https://www.ratsit.se/foretag/Varbergs-kommun,2025-11-17 14:03:20,2025-11-17 14:03:20,0
266,Vaxholms kommun,7026,https://www.ratsit.se/foretag/Vaxholms-kommun,2025-11-17 14:03:20,2025-11-17 14:03:20,0
267,Vellinge kommun,7208,https://www.ratsit.se/foretag/Vellinge-kommun,2025-11-17 14:03:21,2025-11-17 14:03:21,0
268,Vetlanda kommun,4729,https://www.ratsit.se/foretag/Vetlanda-kommun,2025-11-17 14:03:21,2025-11-17 14:03:21,0
269,Vilhelmina kommun,1641,https://www.ratsit.se/foretag/Vilhelmina-kommun,2025-11-17 14:03:22,2025-11-17 14:03:22,0
270,Vimmerby kommun,2774,https://www.ratsit.se/foretag/Vimmerby-kommun,2025-11-17 14:03:22,2025-11-17 14:03:22,0
271,Vindelns kommun,1341,https://www.ratsit.se/foretag/Vindelns-kommun,2025-11-17 14:03:23,2025-11-17 14:03:23,0
272,Vingåkers kommun,1214,https://www.ratsit.se/foretag/Ving%C3%A5kers-kommun,2025-11-17 14:03:24,2025-11-17 14:03:24,0
273,Vårgårda kommun,2212,https://www.ratsit.se/foretag/V%C3%A5rg%C3%A5rda-kommun,2025-11-17 14:03:24,2025-11-17 14:03:24,0
274,Vänersborgs kommun,4735,https://www.ratsit.se/foretag/V%C3%A4nersborgs-kommun,2025-11-17 14:03:25,2025-11-17 14:03:25,0
